,dong,Latitude,Longitude,fuel,num
0,강남구 역삼1동,37.5005089,127.0369901,hybrid,2765
0,강남구 역삼2동,37.4984642,127.0449966,hybrid,1168
0,강남구 도곡1동,37.4885906,127.0452757,hybrid,620
0,강남구 도곡2동,37.4891782,127.0488329,hybrid,1143
0,강남구 개포1동,37.4802905,127.0626272,hybrid,291
0,강남구 개포2동,37.4859833,127.0679911,hybrid,899
0,기타,,,hybrid,385
0,강남구 개포4동,37.4772032,127.0506441,hybrid,598
0,강남구 세곡동,37.4643619,127.1045971,hybrid,1184
0,강남구 일원본동,37.4828392,127.0852541,hybrid,719
0,강남구 일원1동,37.4926662,127.0861993,hybrid,222
0,강남구 수서동,37.4863964,127.1006971,hybrid,29
0,강남구 수서동,37.4863964,127.1006971,hybrid,344
0,기타,,,hybrid,2
0,송파구 풍납1동,37.5366733,127.1188176,hybrid,200
0,송파구 풍납2동,37.5294056,127.1135523,hybrid,506
0,송파구 거여1동,37.4947438,127.1421825,hybrid,197
0,송파구 거여2동,37.4913997,127.1492331,hybrid,469
0,송파구 마천1동,37.4950212,127.1552628,hybrid,197
0,송파구 마천2동,37.5001616,127.1503744,hybrid,196
0,송파구 방이1동,37.5098723,127.1222441,hybrid,438
0,송파구 방이2동,37.5131454,127.1138934,hybrid,426
0,송파구 오륜동,37.5167529,127.1299347,hybrid,588
0,송파구 오금동,37.5041934,127.1344585,hybrid,801
0,송파구 송파1동,37.5071553,127.1104394,hybrid,412
0,송파구 송파2동,37.5029988,127.1160206,hybrid,438
0,송파구 석촌동,37.5024352,127.1026694,hybrid,461
0,송파구 삼전동,37.5019016,127.0918885,hybrid,373
0,송파구 가락본동,37.4968338,127.1221765,hybrid,603
0,송파구 가락1동,37.4959609,127.1098925,hybrid,993
0,송파구 가락2동,37.4958177,127.1305993,hybrid,702
0,송파구 문정1동,37.4876269,127.1260307,hybrid,669
0,송파구 문정2동,37.4810617,127.1195405,hybrid,983
0,송파구 장지동,37.4768715,127.1320663,hybrid,551
0,송파구 위례동,37.4812423,127.1415361,hybrid,1197
0,송파구 잠실본동,37.5067945,127.0830482,hybrid,401
0,송파구 잠실2동,37.5148527,127.0802537,hybrid,1022
0,송파구 잠실3동,37.5118963,127.0935043,hybrid,893
0,송파구 잠실4동,37.5205145,127.1085705,hybrid,670
0,송파구 잠실6동,37.5168801,127.1020217,hybrid,420
0,송파구 잠실7동,37.5084836,127.0747078,hybrid,357
0,강동구 강일동,37.5675265,127.1729313,hybrid,569
0,강동구 상일동,37.5511028,127.1696401,hybrid,618
0,강동구 상일제1동,37.55023,127.164711,hybrid,552
0,강동구 상일제2동,37.5516582,127.1774908,hybrid,77
0,강동구 명일1동,37.5512509,127.1442774,hybrid,521
0,강동구 명일2동,37.548477,127.1550737,hybrid,443
0,강동구 고덕1동,37.5601678,127.1506281,hybrid,642
0,강동구 고덕2동,37.563878,127.1631678,hybrid,598
0,강동구 암사1동,37.5516569,127.1348609,hybrid,462
0,강동구 암사2동,37.551706,127.1272054,hybrid,288
0,강동구 암사3동,37.5563445,127.1418149,hybrid,442
0,강동구 천호1동,37.5461393,127.1384097,hybrid,325
0,강동구 천호2동,37.5442183,127.1250153,hybrid,455
0,강동구 천호3동,37.5361047,127.1331009,hybrid,394
0,강동구 성내1동,37.5290698,127.1256438,hybrid,419
0,강동구 성내2동,37.5344856,127.1279314,hybrid,269
0,강동구 성내3동,37.5284511,127.1337614,hybrid,332
0,강동구 길동,37.5396157,127.1459293,hybrid,685
0,강동구 둔촌1동,37.5228859,127.140539,hybrid,8
0,강동구 둔촌2동,37.5314522,127.1467148,hybrid,423
