,dong,Latitude,Longitude,fuel,num
0,관악구 미성동,37.4760244,126.9159893,electric,81
0,관악구 난곡동,37.4708571,126.9212957,electric,40
0,서초구 서초1동,37.4878193,127.0195913,electric,928
0,서초구 서초2동,37.4895072,127.0279562,electric,184
0,서초구 서초3동,37.4861999,127.0095609,electric,302
0,서초구 서초4동,37.4989536,127.0199725,electric,185
0,서초구 잠원동,37.5151065,127.0137779,electric,115
0,서초구 반포본동,37.5039744,127.0007494,electric,87
0,서초구 반포1동,37.5057354,127.0168253,electric,251
0,서초구 반포2동,37.5046056,126.9952655,electric,184
0,서초구 반포3동,37.5104452,127.0066823,electric,124
0,서초구 반포4동,37.4996287,127.0024768,electric,89
0,서초구 방배본동,37.4794939,126.9931207,electric,83
0,서초구 방배1동,37.4848642,126.9961215,electric,109
0,서초구 방배2동,37.4748879,126.9880929,electric,59
0,서초구 방배3동,37.4760061,126.9961955,electric,66
0,서초구 방배4동,37.489857,126.990266,electric,92
0,서초구 양재1동,37.4708601,127.0270047,electric,1479
0,서초구 양재2동,37.45892,127.0469555,electric,243
0,서초구 내곡동,37.4550628,127.0695079,electric,177
0,강남구 신사동,37.5235332,127.0230659,electric,136
0,강남구 논현1동,37.512941,127.0265074,electric,136
0,강남구 논현2동,37.515162,127.0362055,electric,170
0,강남구 압구정동,37.5271478,127.0334517,electric,238
0,강남구 청담동,37.5233931,127.0479736,electric,285
0,강남구 삼성1동,37.5144266,127.0586503,electric,190
0,강남구 삼성2동,37.5116021,127.0492348,electric,201
0,강남구 대치1동,37.4940958,127.0587012,electric,5599
0,강남구 대치2동,37.5010662,127.0651252,electric,1710
0,강남구 대치4동,37.5018725,127.0551518,electric,2565
0,강남구 역삼1동,37.5005089,127.0369901,electric,913
0,강남구 역삼2동,37.4984642,127.0449966,electric,300
0,강남구 도곡1동,37.4885906,127.0452757,electric,114
0,강남구 도곡2동,37.4891782,127.0488329,electric,215
0,강남구 개포1동,37.4802905,127.0626272,electric,48
0,강남구 개포2동,37.4859833,127.0679911,electric,225
0,기타,,,electric,82
0,강남구 개포4동,37.4772032,127.0506441,electric,118
0,강남구 세곡동,37.4643619,127.1045971,electric,360
0,강남구 일원본동,37.4828392,127.0852541,electric,110
0,강남구 일원1동,37.4926662,127.0861993,electric,135
0,강남구 일원2동,37.4946762,127.0778305,electric,90
0,강남구 수서동,37.4863964,127.1006971,electric,86
0,송파구 풍납1동,37.5366733,127.1188176,electric,57
0,송파구 풍납2동,37.5294056,127.1135523,electric,95
0,송파구 거여1동,37.4947438,127.1421825,electric,41
0,송파구 거여2동,37.4913997,127.1492331,electric,123
0,송파구 마천1동,37.4950212,127.1552628,electric,58
0,송파구 마천2동,37.5001616,127.1503744,electric,78
0,송파구 방이1동,37.5098723,127.1222441,electric,74
0,송파구 방이2동,37.5131454,127.1138934,electric,92
0,송파구 오륜동,37.5167529,127.1299347,electric,64
0,송파구 오금동,37.5041934,127.1344585,electric,152
0,송파구 송파1동,37.5071553,127.1104394,electric,69
0,송파구 송파2동,37.5029988,127.1160206,electric,63
0,송파구 석촌동,37.5024352,127.1026694,electric,119
0,송파구 삼전동,37.5019016,127.0918885,electric,109
0,송파구 가락본동,37.4968338,127.1221765,electric,119
0,송파구 가락1동,37.4959609,127.1098925,electric,221
0,송파구 가락2동,37.4958177,127.1305993,electric,106
0,송파구 문정1동,37.4876269,127.1260307,electric,134
0,송파구 문정2동,37.4810617,127.1195405,electric,224
